X [mm],Y [mm],Z [mm],mX [mm],mY [mm],mZ [mm],inFieldTag
12.4,-6.2,15.16,11.8453,-5.92266,-30.25,0.0685888
16.56,4.12,39.96,15.442,3.84185,-30.25,0.0467622
-12.4,6.2,35.8,-11.6093,5.80464,-30.25,0.0710908
10.32,-2.04,31.64,9.70088,-1.91762,-30.25,0.100934
12.4,6.2,-1.4,12.0418,6.02088,-30.25,0.0666337
4.16,-6.2,37.88,3.88692,-5.79301,-30.25,1
-14.48,4.12,-1.4,-14.0617,4.00097,-30.25,0.0536769
16.56,-8.28,-9.64,16.2154,-8.10769,-30.25,0.0417686
12.4,-8.28,-17.96,12.2448,-8.17638,-30.25,0.0624518
-14.48,-4.12,-15.88,-14.2686,-4.05984,-30.25,0.0525184
14.48,6.2,-15.88,14.2686,6.10947,-30.25,0.0515544
-4.16,-2.04,-13.8,-4.09061,-2.00597,-30.25,1
16.56,-6.2,-9.64,16.2154,-6.07097,-30.25,0.0430697
-16.56,2.04,13.08,-15.8517,1.95275,-30.25,0.0450306
12.4,6.2,33.72,11.6326,5.81632,-30.25,0.0708353
4.16,-6.2,0.68,4.03142,-6.00836,-30.25,1
-8.24,8.28,31.64,-7.74567,7.78327,-30.25,0.143028
-10.32,-6.2,-1.4,-10.0219,-6.02088,-30.25,0.0899065
14.48,-2.04,31.64,13.6113,-1.91762,-30.25,0.0564149
0,-4.12,13.08,0,-3.94379,-30.25,1
-2.08,4.12,-9.64,-2.03671,4.03426,-30.25,1
-8.24,-4.12,-5.56,-8.03542,-4.01771,-30.25,0.151809
-8.24,4.12,27.56,-7.77642,3.88821,-30.25,0.16504
14.48,4.12,27.56,13.6654,3.88821,-30.25,0.0560762
12.4,-2.04,11,11.8941,-1.95677,-30.25,0.0699589
-14.48,8.28,-3.48,-14.091,8.05757,-30.25,0.050783
-16.56,-4.12,21.32,-15.7238,-3.91197,-30.25,0.045558
-12.4,8.28,-1.4,-12.0418,8.04079,-30.25,0.0641257
2.08,8.28,11,1.99513,7.94217,-30.25,1
4.16,-10.36,-13.8,4.09061,-10.1872,-30.25,0.902178
14.48,-10.36,25.48,13.6931,-9.79698,-30.25,0.051747
-10.32,6.2,2.76,-9.98027,5.9959,-30.25,0.0906787
-8.24,-6.2,-11.72,-8.0855,-6.08375,-30.25,0.13136
10.32,-2.04,-5.56,10.0638,-1.98935,-30.25,0.0939998
2.08,-2.04,6.84,2.00338,-1.96485,-30.25,1
-14.48,-2.04,-15.88,-14.2686,-2.01021,-30.25,0.0525123
-10.32,-10.36,35.8,-9.66192,-9.69937,-30.25,0.0869217
-14.48,-10.36,6.84,-13.9466,-9.97836,-30.25,0.0502546
12.4,-6.2,35.8,11.6093,-5.80464,-30.25,0.0710908
-12.4,-10.36,15.16,-11.8453,-9.89658,-30.25,0.0633486
-10.32,10.36,25.48,-9.75916,9.79698,-30.25,0.0850752
4.16,8.28,35.8,3.89473,7.75201,-30.25,1
-8.24,-6.2,13.08,-7.88757,-5.93482,-30.25,0.140398
-16.56,-10.36,-3.48,-16.1151,-10.0817,-30.25,0.0413494
16.56,6.2,2.76,16.0149,5.9959,-30.25,0.0438621
10.32,-6.2,33.72,9.68136,-5.81632,-30.25,0.0966344
4.16,-4.12,23.4,3.94192,-3.90402,-30.25,1
14.48,-10.36,8.92,13.9178,-9.95779,-30.25,0.0504199
-14.48,-10.36,21.32,-13.7489,-9.83689,-30.25,0.0514118
2.08,-4.12,-9.64,2.03671,-4.03426,-30.25,1
-4.16,4.12,31.64,-3.91043,3.87283,-30.25,1
-12.4,2.04,27.56,-11.7024,1.92523,-30.25,0.071895
-10.32,-10.36,15.16,-9.85837,-9.89658,-30.25,0.0832622
12.4,6.2,21.32,11.7739,5.88694,-30.25,0.0693279
-4.16,-2.04,15.16,-3.97392,-1.94875,-30.25,1
-2.08,6.2,-5.56,-2.02836,6.04607,-30.25,1
-2.08,8.28,-13.8,-2.04531,8.14189,-30.25,1
4.16,-10.36,11,3.99027,-9.9373,-30.25,1
-2.08,4.12,37.88,-1.94346,3.84955,-30.25,1
-10.32,-4.12,-3.48,-10.0428,-4.00932,-30.25,0.094371
-4.16,-6.2,-5.56,-4.05672,-6.04607,-30.25,1
2.08,2.04,23.4,1.97096,1.93306,-30.25,1
8.24,10.36,2.76,7.96875,10.019,-30.25,0.118278
8.24,6.2,-15.88,8.11968,6.10947,-30.25,0.129915
-10.32,-2.04,-3.48,-10.0428,-1.9852,-30.25,0.0943754
14.48,8.28,-1.4,14.0617,8.04079,-30.25,0.0509374
12.4,-8.28,15.16,11.8453,-7.90962,-30.25,0.0658154
-12.4,10.36,23.4,-11.75,9.81689,-30.25,0.0642711
12.4,-8.28,21.32,11.7739,-7.86191,-30.25,0.0664477
-2.08,8.28,37.88,-1.94346,7.73647,-30.25,1
12.4,-2.04,33.72,11.6326,-1.91376,-30.25,0.0726259
4.16,2.04,2.76,4.02306,1.97284,-30.25,1
-14.48,-4.12,11,-13.8892,-3.9519,-30.25,0.054696
-10.32,10.36,39.96,-9.62327,9.66057,-30.25,0.0876756
12.4,-4.12,37.88,11.586,-3.84955,-30.25,0.0731342
-2.08,8.28,-3.48,-2.02412,8.05757,-30.25,1
-14.48,-8.28,23.4,-13.7209,-7.84594,-30.25,0.0527905
-2.08,8.28,11,-1.99513,7.94217,-30.25,1
10.32,8.28,-5.56,10.0638,8.07442,-30.25,0.0858691
-2.08,2.04,2.76,-2.01153,1.97284,-30.25,1
-10.32,-6.2,-17.96,-10.1908,-6.12241,-30.25,0.0868958
10.32,6.2,39.96,9.62327,5.78142,-30.25,0.0978812
4.16,4.12,-9.64,4.07343,4.03426,-30.25,1
10.32,4.12,-9.64,10.1052,4.03426,-30.25,0.0932909
8.24,-6.2,15.16,7.87141,-5.92266,-30.25,0.14119
14.48,10.36,-13.8,14.2385,10.1872,-30.25,0.048631
-4.16,-6.2,27.56,-3.92596,-5.85119,-30.25,1
-8.24,8.28,8.92,-7.92009,7.95854,-30.25,0.136017
-10.32,-2.04,-13.8,-10.1479,-2.00597,-30.25,0.0925348
2.08,6.2,23.4,1.97096,5.87498,-30.25,1
-14.48,2.04,8.92,-13.9178,1.9608,-30.25,0.0545241
-10.32,-10.36,21.32,-9.79891,-9.83689,-30.25,0.0843403
0,-10.36,15.16,0,-9.89658,-30.25,1
0,8.28,35.8,0,7.75201,-30.25,1
-8.24,-10.36,0.68,-7.98531,-10.0398,-30.25,0.11778
8.24,4.12,-15.88,8.11968,4.05984,-30.25,0.148146
-10.32,-10.36,6.84,-9.93983,-9.97836,-30.25,0.0818247
-12.4,-4.12,19.24,-11.7979,-3.91995,-30.25,0.0709224
-4.16,-4.12,-15.88,-4.09926,-4.05984,-30.25,1
4.16,10.36,-3.48,4.04825,10.0817,-30.25,1
-12.4,-2.04,39.96,-11.5628,-1.90228,-30.25,0.0733724
-10.32,4.12,39.96,-9.62327,3.84185,-30.25,0.102582
-16.56,8.28,21.32,-15.7238,7.86191,-30.25,0.0435754
4.16,10.36,2.76,4.02306,10.019,-30.25,1
-8.24,8.28,23.4,-7.80803,7.84594,-30.25,0.140476
16.56,10.36,39.96,15.442,9.66057,-30.25,0.0440377
10.32,-10.36,13.08,9.87861,-9.9169,-30.25,0.0829008
14.48,-8.28,13.08,13.8607,-7.92586,-30.25,0.0520167
14.48,-6.2,23.4,13.7209,-5.87498,-30.25,0.0548432
12.4,-6.2,21.32,11.7739,-5.88694,-30.25,0.0693279
14.48,-6.2,-11.72,14.2085,-6.08375,-30.25,0.0518962
14.48,4.12,-13.8,14.2385,4.05128,-30.25,0.052684
16.56,-6.2,35.8,15.504,-5.80464,-30.25,0.0460159
16.56,4.12,25.48,15.66,3.8961,-30.25,0.0458252
-12.4,10.36,31.64,-11.6561,9.73848,-30.25,0.0652026
4.16,-10.36,31.64,3.91043,-9.73848,-30.25,1
-12.4,10.36,-13.8,-12.1932,10.1872,-30.25,0.0601782
-10.32,-10.36,0.68,-10.001,-10.0398,-30.25,0.0807741
-14.48,-4.12,-17.96,-14.2988,-4.06844,-30.25,0.0523532
12.4,2.04,-5.56,12.0921,1.98935,-30.25,0.068064
